Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
ExtraTreesRegressor,0.8584117318099274,0.8609019777328684,0.14879194115516198,9.899147272109985
RandomForestRegressor,0.8305921450771072,0.833571680213942,0.1627543280719994,15.56327772140503
BaggingRegressor,0.8139418708271112,0.8172142499834183,0.1705650711110417,2.407432794570923
XGBRegressor,0.8091082374021155,0.812465630211626,0.17276643381100767,4.27814507484436
KNeighborsRegressor,0.7956419158017184,0.7992361534634972,0.1787564355291646,2.005715847015381
HistGradientBoostingRegressor,0.761042781326813,0.7652455464793565,0.19329732862293547,2.358398675918579
LGBMRegressor,0.7588590987179586,0.7631002703485473,0.194178532527284,0.7413792610168457
ExtraTreeRegressor,0.6800527484412638,0.6856799614083773,0.22366857284217131,0.18495392799377441
DecisionTreeRegressor,0.6577009391835036,0.6637212744239946,0.2313495337235774,0.4893331527709961
MLPRegressor,0.6403087102756548,0.6466349389893996,0.23715415352499977,5.873300552368164
SVR,0.6369100326088643,0.6432960370604671,0.23827193913394104,25.509182453155518
NuSVR,0.6364354899160037,0.642829840595873,0.23842759378905543,41.484957218170166
GradientBoostingRegressor,0.6233231861821048,0.6299481552693542,0.24268907080316968,5.21818995475769
BayesianRidge,0.534844806111024,0.543025927611584,0.269689918520343,0.28079652786254883
RidgeCV,0.5348106369907722,0.5429923594557586,0.26969982370699364,0.21671199798583984
Ridge,0.5348048743298867,0.5429866981482052,0.26970149419210715,0.09424877166748047
LassoLarsIC,0.5348042154104866,0.5429860508178399,0.2697016851995726,0.136277437210083
Lars,0.5348042154104866,0.5429860508178399,0.2697016851995726,0.130293607711792
LassoLarsCV,0.5348013585966748,0.5429832442494971,0.26970251333080464,0.4647810459136963
LassoCV,0.534754875935281,0.542937579122349,0.26971598733560864,0.9404797554016113
ElasticNetCV,0.534750312729745,0.5429330961741967,0.2697173100431504,2.0421924591064453
LinearRegression,0.5343686592746613,0.5425581552170667,0.2698279145681151,0.15688395500183105
TransformedTargetRegressor,0.5343686592746613,0.5425581552170667,0.2698279145681151,0.14240360260009766
SGDRegressor,0.5298079364601969,0.5380776461204446,0.27114613728994663,0.15687274932861328
HuberRegressor,0.5281006782438198,0.536400415058627,0.27163795441913813,0.5043864250183105
LinearSVR,0.5191522187767397,0.5276093405570483,0.2742013464084604,7.2976906299591064
LarsCV,0.5061685179480548,0.5148539962756016,0.277878637819837,0.47716689109802246
PoissonRegressor,0.4905895962729394,0.4995490757354757,0.282227728215878,0.11530900001525879
GammaRegressor,0.4624837079544888,0.4719375120859425,0.28990892854510886,0.10400724411010742
TweedieRegressor,0.46069254700444395,0.47017785396667733,0.29039155733805583,0.10382676124572754
GeneralizedLinearRegressor,0.46069254700444395,0.47017785396667733,0.29039155733805583,0.10083365440368652
OrthogonalMatchingPursuit,0.4323443494331487,0.44232824278482696,0.2979258982329672,0.09630990028381348
OrthogonalMatchingPursuitCV,0.4323443494331487,0.44232824278482696,0.2979258982329672,0.3157048225402832
RANSACRegressor,0.37650464706853604,0.3874706457381849,0.31223557623777926,0.9747745990753174
AdaBoostRegressor,0.3698169419005922,0.3809005635254562,0.31390565274486776,2.4108715057373047
PassiveAggressiveRegressor,0.23509136809262055,0.24854453498546392,0.3458362837193227,0.13826823234558105
Lasso,-0.01790395288117863,-1.1195390474671996e-06,0.39895064835543165,0.08878040313720703
ElasticNet,-0.01790395288117863,-1.1195390474671996e-06,0.39895064835543165,0.1269543170928955
DummyRegressor,-0.01790395288117863,-1.1195390474671996e-06,0.39895064835543165,0.0806586742401123
LassoLars,-0.01790395288117863,-1.1195390474671996e-06,0.39895064835543165,0.11278796195983887
KernelRidge,-12.082575776776205,-11.852480222913307,1.4302514746974082,52.28484559059143
GaussianProcessRegressor,-391.54256925788235,-384.63855422068343,7.834461579464043,98.11435747146606
