,region,type,mae_p,rmse_p,df_mean,test_mean,test_std,eval
0,Albany,conventional,0.18816065129712037,0.22693565422964435,1.3493974358974359,1.4785625,0.1474016469911862,not_good
1,Atlanta,conventional,0.25966300493812744,0.2856806254309538,1.0675128205128206,1.2035625,0.242358123077046,not_good
2,BaltimoreWashington,conventional,0.3053128788051168,0.33101965888998514,1.3430384615384616,1.4270625,0.14329052343802395,not_good
3,Boise,conventional,0.28959508661969946,0.3589420052061596,1.0764102564102562,1.3593125,0.2354645768778941,not_good
4,Boston,conventional,0.22455283423457625,0.25830794529978596,1.3041410256410257,1.44775,0.15430929052671177,not_good
5,BuffaloRochester,conventional,0.39523247403972317,0.4109383909404342,1.3833589743589743,1.3189375,0.10185404035046572,not_good
6,California,conventional,0.20136884194786103,0.23628607781988367,1.1050769230769233,1.2861875,0.2754165595057785,good
7,Charlotte,conventional,0.2200774776021519,0.256429178913365,1.2753076923076923,1.3968124999999998,0.20240393444439617,not_good
8,Chicago,conventional,0.1696153305639379,0.195374725344556,1.3690641025641024,1.664125,0.3181561555049884,good
9,CincinnatiDayton,conventional,0.2880622031491327,0.39039665454898553,1.0121666666666667,1.2345625,0.34781095414237395,not_good
10,Columbus,conventional,0.2203450641080026,0.27860343860840575,1.0653333333333335,1.18275,0.30615332293290093,good
11,DallasFtWorth,conventional,0.12135226925859238,0.15169820215464141,0.844974358974359,0.9625625,0.1834221200050388,good
12,Denver,conventional,0.21547345326711326,0.24019221521264325,1.0736025641025642,1.2046875,0.2011404870624368,not_good
13,Detroit,conventional,0.23414545203623702,0.2847273201111659,1.1214871794871792,1.255625,0.3216678355517869,good
14,GrandRapids,conventional,0.17395259105225938,0.20184170584478572,1.324051282051282,1.5685,0.25317681568421696,good
15,GreatLakes,conventional,0.16884414034267198,0.24953848026435815,1.1806282051282053,1.3683125,0.2944794362818177,good
16,HarrisburgScranton,conventional,0.26233817028596496,0.2948495324880021,1.2577051282051281,1.3329374999999999,0.12369011898981376,not_good
17,HartfordSpringfield,conventional,0.31108120907045966,0.3441671546849361,1.407730769230769,1.4852499999999997,0.12153982298583699,not_good
18,Houston,conventional,0.14594382563578268,0.18123937485635622,0.8229999999999998,0.9204375000000001,0.21374959273144156,good
19,Indianapolis,conventional,0.21666719488607478,0.31769201761146065,1.1427435897435898,1.2871875,0.3382396590648202,good
20,Jacksonville,conventional,0.2554312563496125,0.2983728496933681,1.1927051282051282,1.386625,0.25299530628057115,not_good
21,LasVegas,conventional,0.16270742417817355,0.2170321643532563,1.0112820512820515,1.2105625,0.2074712437044848,not_good
22,LosAngeles,conventional,0.20149003060305307,0.24127209033666597,0.975551282051282,1.2276875,0.28968750866851584,good
23,Louisville,conventional,0.18280137149841896,0.24999362407798348,1.1048333333333333,1.292625,0.30400431740355266,good
24,MiamiFtLauderdale,conventional,0.3143487186771395,0.3641770187927396,1.2535769230769231,1.4376875,0.2652704734928915,not_good
25,Midsouth,conventional,0.1902986365182962,0.2179700523806856,1.2062948717948718,1.309625,0.19103491640460465,not_good
26,Nashville,conventional,0.16728681019238711,0.24006245608977406,1.0109615384615382,1.1228124999999998,0.239718575700162,not_good
27,NewOrleansMobile,conventional,0.3197438851174182,0.3564932411355603,1.084730769230769,1.2228124999999999,0.23479275626146806,not_good
28,NewYork,conventional,0.22444338919031726,0.2498476153662642,1.4015384615384614,1.473875,0.16288290053199048,not_good
29,Northeast,conventional,0.2754846398564107,0.31734971385953575,1.3442820512820515,1.4249375,0.14916133104317425,not_good
30,NorthernNewEngland,conventional,0.2190921309371098,0.2495112344180288,1.2610769230769232,1.4172500000000001,0.18778445090049384,not_good
31,Orlando,conventional,0.28081332601631726,0.32293180514186337,1.2133333333333332,1.3855624999999998,0.23966083736039506,not_good
32,Philadelphia,conventional,0.3226700186113451,0.36660440044706405,1.3951794871794874,1.42475,0.15620087799277668,not_good
33,PhoenixTucson,conventional,0.14094956357447747,0.1714172232221323,0.7252435897435897,0.86475,0.2420011806346643,good
34,Pittsburgh,conventional,0.10447751007224668,0.13068184673885283,1.252102564102564,1.2665,0.13598897014096406,good
35,Plains,conventional,0.21261686933932827,0.24372573567261235,1.1639615384615385,1.310125,0.2373250859655832,not_good
36,Portland,conventional,0.2282736163626813,0.3235829231143991,1.0467948717948716,1.3253750000000002,0.2657087220999717,not_good
37,RaleighGreensboro,conventional,0.20091802011887594,0.2434464368461242,1.2271282051282049,1.3280625000000001,0.18124518466509867,not_good
38,RichmondNorfolk,conventional,0.20906439334221671,0.2563606873658722,1.119897435897436,1.2190625,0.1793489092523286,not_good
39,Roanoke,conventional,0.25458731479566604,0.26803533698992876,1.0952692307692307,1.18825,0.23080619575739297,not_good
40,Sacramento,conventional,0.28755184049349763,0.3485719939473086,1.2740256410256412,1.3642500000000002,0.2589900715140585,not_good
41,SanDiego,conventional,0.1904741400617309,0.22454891763488843,1.0608589743589745,1.2866250000000001,0.25782895077384704,good
42,SanFrancisco,conventional,0.3722289276974575,0.4325756598925144,1.3981025641025637,1.4188749999999999,0.2777507554316588,not_good
43,Seattle,conventional,0.27430857592663116,0.35339275485970684,1.1711794871794872,1.5273124999999999,0.24937048420544308,not_good
44,SouthCarolina,conventional,0.2225815543144403,0.2697477481631694,1.1454615384615385,1.2720625,0.17825331844236258,not_good
45,SouthCentral,conventional,0.12090514437576395,0.15159099406358809,0.8679102564102564,0.9809374999999999,0.1979031937770153,good
