,region,type,mae_p,rmse_p,df_mean,test_mean,test_std,eval
0,Albany,organic,0.3972809968574726,0.4322115179093876,1.775076923076923,1.5944375,0.15688882266933946,not_good
1,Atlanta,organic,0.5974082135308103,0.6643730808671168,1.6047564102564102,1.8869375,0.4176047719264163,not_good
2,BaltimoreWashington,organic,0.5660095869839508,0.577874644298923,1.7242564102564104,1.5804375,0.1308855654761059,not_good
3,Boise,organic,0.6386124929017822,0.6721791250357809,1.6216282051282052,2.0892500000000003,0.40716537531713426,not_good
4,Boston,organic,0.1427021746734471,0.1742858243570353,1.7606923076923078,1.7680625,0.08747915568049015,not_good
5,BuffaloRochester,organic,0.619618117473924,0.6516962441981726,1.6521666666666663,1.2951249999999999,0.12321141818609416,not_good
6,California,organic,0.1799684956089768,0.21648215529025205,1.6847820512820515,1.9356875,0.22414678505390168,good
7,Charlotte,organic,0.3765246707027182,0.4037626995740981,1.9405512820512825,2.097,0.42365804944216834,good
8,Chicago,organic,0.2627518698607413,0.2859463921126496,1.7447948717948718,1.8035,0.1361385848527678,not_good
9,CincinnatiDayton,organic,0.7063190398618292,0.727826319400186,1.4002179487179485,1.7758125000000002,0.22129358933003784,not_good
10,Columbus,organic,0.4002732417728613,0.4742447195410819,1.4369871794871796,1.605375,0.27436559941592015,not_good
11,DallasFtWorth,organic,0.142269203952952,0.19121984109389634,1.3254743589743592,1.5733125,0.16871868757109945,not_good
12,Denver,organic,0.5338645108410207,0.55244213267426,1.3667179487179486,1.7505625,0.2448673748174713,not_good
13,Detroit,organic,0.39661463717955625,0.46744410387084273,1.4232051282051286,1.4926249999999999,0.23241046663177625,not_good
14,GrandRapids,organic,0.6471513366312771,0.6503475496556442,1.6849615384615384,1.30775,0.07108445681019171,not_good
15,GreatLakes,organic,0.11780376801809095,0.14858020360836457,1.4931666666666668,1.5546875,0.16510601302107164,good
16,HarrisburgScranton,organic,0.47383552421143027,0.4907868276190554,1.7695897435897439,1.5228125000000001,0.08100129518364861,not_good
17,HartfordSpringfield,organic,0.43313112165823836,0.4531755056399745,2.2311410256410253,1.998625,0.1221198913246439,not_good
18,Houston,organic,0.5725088028910813,0.5970056265005135,1.2693589743589744,1.5656250000000003,0.21317158581762252,not_good
19,Indianapolis,organic,0.11268169332713979,0.12470192181463463,1.481410256410257,1.4716875,0.14788555843238088,good
20,Jacksonville,organic,0.34057231032672064,0.39462754308406367,1.829282051282051,1.9928125,0.3356805387673567,not_good
21,LasVegas,organic,0.26711770650538025,0.2968090623652747,1.7492307692307691,1.9358750000000002,0.2794276995677314,not_good
22,LosAngeles,organic,0.260627807053899,0.32494451190657236,1.454602564102564,1.8980000000000001,0.2338682474019446,not_good
23,Louisville,organic,0.5236534340096571,0.5685168165634107,1.4625128205128206,1.6839374999999999,0.24806457072705876,not_good
24,MiamiFtLauderdale,organic,0.2526100932201789,0.31974529466306484,1.6022820512820515,1.6391875,0.24848712779251045,not_good
25,Midsouth,organic,0.1611920920639443,0.18254485973881107,1.6012820512820514,1.7465625,0.1923581922017954,good
26,Nashville,organic,0.722810754120508,0.748129240117173,1.4080128205128206,1.693,0.257953622631223,not_good
27,NewOrleansMobile,organic,0.22915043750572017,0.2582496474805312,1.5234358974358975,1.485125,0.16077263226592475,not_good
28,NewYork,organic,0.2545039311756861,0.25942692662863326,2.0531923076923078,1.92625,0.1439689946779215,not_good
29,Northeast,organic,0.36861728172026764,0.3739598883686922,1.8608333333333336,1.7131875,0.0845238501844302,not_good
30,NorthernNewEngland,organic,0.09461895596410541,0.1048537039194549,1.6954871794871793,1.6324375,0.09695817857642096,not_good
31,Orlando,organic,0.27998869528486453,0.3188974736670417,1.797,1.86425,0.3755720398843039,good
32,Philadelphia,organic,0.4613491822651347,0.4688355250671422,1.8673589743589747,1.6548125000000002,0.08301761323443872,not_good
33,PhoenixTucson,organic,0.1953066058814632,0.2469555715344639,1.7201410256410254,1.7641875,0.15705184255525304,not_good
34,Pittsburgh,organic,0.1591088825882135,0.16395787001365744,1.4791025641025641,1.4100625,0.03341881153311281,not_good
35,Plains,organic,0.17747408660037198,0.20785328869178257,1.7066282051282053,1.7955625,0.20041696490424304,not_good
36,Portland,organic,0.7561548975273062,0.8210779238883847,1.5884230769230767,2.05175,0.5268207203865196,not_good
37,RaleighGreensboro,organic,0.3738729655518186,0.4524687219997527,1.8851410256410253,2.2381875,0.39189265453510524,not_good
38,RichmondNorfolk,organic,0.15530994804708323,0.18325415620430974,1.4626153846153847,1.5619999999999998,0.1957992776872712,good
39,Roanoke,organic,0.35179638957455917,0.4084911712034426,1.3994358974358978,1.6877499999999999,0.23901314966814213,not_good
40,Sacramento,organic,0.7504738979529183,0.7812425522727959,1.9728717948717946,1.85725,0.1738353079374679,not_good
41,SanDiego,organic,0.2857445805441781,0.3375232396482448,1.732076923076923,2.0329375,0.2456887458176067,not_good
42,SanFrancisco,organic,0.9645492972865469,1.00186310206797,2.213615384615385,2.0772500000000003,0.2686863545899887,not_good
43,Seattle,organic,0.48484395145591447,0.5943992082657419,1.7159871794871793,2.042625,0.6328911410571105,good
44,SouthCarolina,organic,0.2875272278889331,0.3373029325985184,1.6605128205128203,1.631875,0.28099310489761126,not_good
45,SouthCentral,organic,0.4419689706925919,0.4539094219721639,1.3325512820512821,1.554875,0.15471904259934252,not_good
46,Southeast,organic,0.2876692488828661,0.3254563889902264,1.6325897435897434,1.7209374999999998,0.31264190349572235,not_good
47,Spokane,organic,0.3981123517905899,0.47714918377189064,1.7721666666666664,2.1689375,0.4950927357215875,good
48,StLouis,organic,0.8218143863446252,0.8687678334380231,1.674923076923077,2.0036875,0.38192135853751735,not_good
49,Syracuse,organic,0.7832523690549829,0.8041033748117806,1.6557435897435897,1.3258125,0.11720218717486222,not_good
50,Tampa,organic,0.23361770982434985,0.30565372434214694,1.613628205128205,1.6573125,0.25093239520692756,not_good
51,West,organic,0.38348759874749727,0.42982009341038724,1.5609615384615385,1.9090625,0.38053716145732736,not_good
52,WestTexNewMexico,organic,0.3303810173406996,0.37109843788988905,1.6889316239316237,1.8863750000000001,0.2907566176620675,not_good
