,AveragePrice
7183,1.4
6498,0.83
11514,1.6
17486,1.94
14180,2.23
8242,1.05
11748,1.82
6415,1.44
5962,1.45
16857,1.59
5056,1.3
12357,1.79
3759,1.29
3681,1.3
1391,1.07
7939,0.93
3055,1.13
10468,1.53
11519,1.68
7955,1.32
12929,1.3
11796,1.29
9559,1.38
15669,1.25
13450,2.08
14858,2.48
14530,2.04
4900,1.09
15952,1.83
14792,1.98
12453,2.16
12826,2.3
16788,1.52
7069,1.49
13494,1.51
6848,1.63
4026,1.28
10761,1.37
9262,1.65
14353,1.28
14236,1.72
9112,1.29
6619,0.74
14551,1.44
17167,1.2
14060,1.48
10528,1.61
7324,1.54
17650,1.58
15927,2.32
2670,1.04
1347,0.99
5939,1.13
9310,1.52
8574,1.17
4476,0.72
15044,1.0
1547,1.26
11380,1.78
14050,1.6
17039,1.54
10508,1.85
16272,1.37
6358,0.99
12344,1.81
415,1.19
399,1.2
767,1.11
9821,1.88
3585,1.05
17544,1.88
4202,0.97
13042,1.46
16667,2.0
14439,1.89
8026,1.44
286,1.36
4408,1.09
7796,1.61
14780,1.81
5715,0.91
16565,1.51
9905,1.48
14115,1.44
14331,1.35
7668,1.6
5583,1.49
5108,1.01
16958,1.43
12491,1.45
16603,1.92
17609,1.42
11742,1.49
10476,1.69
12634,2.33
4808,1.01
4035,1.26
17882,1.32
12152,2.01
4114,1.39
12770,2.0
15761,1.5
693,0.96
16792,2.26
15393,1.94
2444,1.05
15838,1.14
11716,1.97
13964,2.09
7727,1.24
12073,1.45
6261,1.59
17557,1.56
14528,1.8
2089,1.26
7479,1.36
9953,1.55
11885,2.24
10929,2.02
7325,1.56
14205,1.19
15136,1.38
4235,1.64
11734,1.42
14802,2.2
5540,1.58
16303,1.49
12650,1.02
11594,1.69
10669,1.82
14068,1.08
16815,2.21
12958,1.68
14538,2.59
15941,1.45
12760,1.41
6114,0.99
712,0.96
13800,2.44
10661,1.84
1651,1.25
16529,1.42
15793,1.6
14461,1.39
14114,1.35
6527,1.26
2614,0.88
9672,1.74
8835,1.21
8992,1.9
4741,1.34
5124,0.85
5662,1.48
11419,2.11
4374,1.4
291,1.43
5710,1.2
16073,1.54
4309,1.08
3894,0.74
5433,0.97
1823,1.08
16072,1.57
4639,1.08
10862,1.64
11121,1.48
10912,1.36
112,1.12
312,0.9
16097,1.82
14798,2.17
8298,0.83
8431,1.01
14326,1.35
1035,0.92
11397,1.81
15473,1.07
13988,0.98
14965,1.97
14459,1.36
12748,1.13
17158,1.52
7804,2.01
3595,1.55
13026,1.74
8018,1.66
8722,0.59
8461,0.82
15085,1.35
219,1.14
12532,1.24
121,1.24
13166,1.52
4088,1.04
17872,1.27
15654,2.04
5319,1.35
14053,1.1
5082,1.05
8296,0.87
16216,1.98
8070,1.83
6033,0.78
12962,1.37
12817,2.91
7297,0.7
12461,1.86
2337,1.15
6366,1.3
12823,2.14
10817,1.8
7539,1.54
4221,1.95
4700,1.31
15027,0.83
15750,2.19
2861,1.21
11614,1.29
16537,1.58
7352,1.36
8094,1.27
13973,1.65
13967,2.19
7664,1.64
2883,1.47
12469,1.28
16910,1.54
14141,1.44
7587,1.08
10833,1.38
3024,1.65
12040,1.65
13017,1.46
16559,1.64
9251,1.81
17072,1.42
17719,2.02
2536,1.34
1943,1.23
11680,1.86
13859,1.59
17827,1.45
11588,1.7
15140,0.9
15697,1.82
5921,1.54
11176,1.52
8562,1.12
8455,0.87
4610,0.97
13894,1.32
3131,1.51
640,1.09
8871,0.96
7289,0.7
9087,1.7
12687,1.24
10315,1.65
12776,1.68
10549,1.88
15530,1.61
776,1.19
1969,1.21
2176,0.92
10674,1.79
15700,2.29
11220,1.75
14956,1.81
8160,1.43
16530,1.32
3439,1.4
9038,1.74
3943,0.72
9154,1.63
10856,1.53
16507,1.81
17372,1.66
5759,1.61
12128,1.34
10262,1.66
188,0.96
15036,0.97
9556,1.37
9529,1.33
3515,1.31
15411,2.57
14628,1.44
5244,0.82
15630,1.34
2175,0.83
10518,1.65
6381,1.37
15459,0.88
6109,1.29
5283,0.81
10284,1.65
14924,1.94
3571,0.96
4226,1.5
6193,1.07
1269,1.22
11225,1.81
10092,1.61
2103,1.29
11211,1.9
17360,1.75
15916,1.5
15675,1.25
8451,1.07
620,0.8
950,0.83
17128,2.18
16939,1.78
4653,0.98
10066,1.75
15325,1.63
4308,1.21
9629,1.33
13531,1.44
11162,2.76
16353,1.62
11921,2.0
11164,2.36
15831,1.5
3075,1.68
9977,1.19
6785,1.45
6488,1.0
16175,1.69
9551,1.14
2473,1.19
3965,1.37
2389,0.79
14969,1.82
14356,1.46
1747,0.58
10320,1.55
7282,0.94
16891,1.06
2143,0.93
13031,1.62
635,0.9
11653,1.48
7660,1.59
6715,1.18
3318,0.95
15163,1.37
5183,0.84
7645,1.74
13087,1.2
9070,1.59
12377,0.74
9798,1.79
16376,1.51
3735,0.76
8309,0.84
6706,0.99
5192,1.04
3018,1.47
8336,1.08
5824,1.4
13721,1.36
5536,1.39
8328,1.03
13475,1.53
14478,1.49
3496,1.6
5297,0.98
2028,0.96
12146,2.08
2044,1.09
1173,0.84
4115,1.31
5659,1.58
13804,2.33
16280,1.43
16541,1.54
4750,1.11
4368,0.94
8757,1.01
16163,1.28
466,1.15
2873,1.58
17755,1.63
7184,1.41
8572,1.2
7350,1.34
9173,1.3
15839,1.21
4263,1.07
9171,1.15
10961,1.33
12638,2.18
9565,1.35
16155,2.08
11235,1.62
12470,1.69
3260,0.93
13812,2.2
13053,1.4
2405,1.17
5858,1.2
6999,1.14
9505,1.5
5439,0.83
15722,1.4
16584,1.16
2156,1.1
1831,1.05
13765,1.52
9937,1.26
13879,1.22
16380,1.52
13547,1.86
9616,1.03
7767,1.8
5849,1.64
11845,1.75
13582,1.63
4133,0.87
1982,0.94
7019,1.55
5212,0.87
6226,0.99
15844,1.61
11612,1.39
4255,1.15
5721,1.0
5023,0.87
7530,1.02
3197,1.23
901,1.26
8703,1.4
1824,1.11
13498,1.54
13528,1.16
7688,1.13
14883,1.7
8148,1.6
11745,1.83
38,1.16
5687,1.76
10027,1.83
2456,0.99
8017,1.84
3267,0.87
9111,1.22
5178,0.92
7143,1.43
1499,1.18
12523,1.26
11068,1.62
9295,1.67
14655,1.55
9932,1.24
7642,1.58
17436,1.34
5073,0.94
17221,1.06
1687,1.39
16340,2.12
16189,2.36
13495,1.49
14160,1.33
10513,1.92
6274,1.7
6459,1.14
14758,2.55
5218,1.09
10997,1.6
14224,1.06
13789,1.37
16876,1.52
5438,0.79
1437,1.05
14855,2.8
3514,1.32
3048,1.09
13609,1.33
14807,2.18
16001,2.05
5366,1.26
9478,1.67
11483,2.06
2260,1.14
11504,1.8
6589,1.88
16660,2.42
13830,2.03
2607,1.21
15592,1.99
9887,2.37
9940,1.15
13627,1.89
7362,1.26
7598,1.41
8035,1.14
2988,1.32
6582,1.56
15903,1.46
9563,1.37
13903,3.12
15141,0.96
3982,0.99
176,1.1
4402,0.76
1454,0.97
13426,1.37
13435,2.35
3152,1.12
15362,1.81
9991,1.68
17119,1.64
12614,2.09
15739,1.59
157,1.03
10556,1.9
14168,1.64
5167,1.09
7057,1.45
6655,1.05
843,1.05
16347,1.82
12815,2.09
7384,1.58
10988,1.55
8905,1.24
16736,2.9
13297,1.33
10953,1.59
3932,0.82
10754,1.57
3156,1.14
10204,1.48
4084,1.15
7422,1.31
13628,1.76
1272,1.24
7538,1.62
9606,1.42
3424,0.73
15606,1.82
5739,1.58
3432,1.06
497,1.07
704,1.04
9085,1.7
665,1.03
13327,1.46
17421,1.59
1646,0.98
13548,1.76
11008,1.19
5979,1.62
2033,1.0
10564,1.89
12547,2.01
10572,1.85
12113,1.6
6343,1.38
14463,1.64
14541,2.14
15593,2.25
7624,1.12
4742,1.28
6862,1.29
1034,0.98
1955,1.21
12434,1.33
8753,1.06
2865,1.6
17806,1.44
15486,1.57
15856,1.78
6502,0.68
2973,1.58
5232,0.85
6892,0.91
1388,1.11
4872,1.15
6916,0.96
15378,1.98
5642,1.48
1267,1.24
4313,1.09
9966,1.65
2249,1.1
12155,1.53
6739,1.18
3701,1.0
8720,0.61
1085,1.24
4874,1.05
10965,1.01
5500,0.7
16103,1.88
11188,1.06
3740,0.91
13887,1.12
13054,1.44
7353,1.37
6971,1.29
10551,1.92
7885,1.37
4106,1.04
16091,1.4
8582,1.05
13896,2.56
639,1.01
3099,0.9
15097,1.35
4507,0.54
4266,1.32
11623,1.73
15191,1.81
459,1.09
8139,1.65
13699,1.25
16521,1.41
7634,1.2
7050,1.37
14811,1.62
126,1.2
14827,1.57
4934,0.61
8881,1.27
2828,1.04
10279,1.52
6718,1.12
9552,1.29
13012,1.68
6969,1.27
1218,0.88
15681,1.19
12798,1.7
10885,1.78
14200,1.42
11635,1.59
12888,1.14
13273,1.95
13502,1.46
8863,0.89
15656,2.1
9721,1.59
13963,1.39
13086,1.77
4219,1.93
13084,1.19
12943,1.22
1304,1.05
10720,1.18
7386,1.53
4694,1.27
16149,2.31
533,1.02
13206,2.08
4737,1.29
12692,1.28
11113,1.81
6441,1.79
12291,1.36
10827,1.68
3291,1.06
313,0.94
14576,1.58
9199,1.82
1595,1.24
11610,1.45
15471,0.94
11411,1.89
15348,2.18
13808,2.19
2048,1.09
16633,2.32
5750,1.67
3380,1.04
12807,2.17
2627,0.95
1764,0.61
11645,1.58
8542,0.68
9704,1.64
12061,1.4
2686,0.89
17659,1.49
11729,1.66
2827,0.87
12590,1.91
8539,0.83
5157,1.43
11841,1.99
4585,1.53
11143,1.94
17358,1.95
3037,1.45
5449,0.81
12570,1.9
7682,1.2
5339,1.22
10520,1.61
8490,1.4
7260,1.4
14046,1.61
13743,1.16
10333,1.28
10930,1.97
7906,1.1
1468,1.26
6727,0.62
3090,1.2
2604,0.96
14682,1.82
17086,1.37
13473,1.34
8626,1.25
1978,0.98
206,1.18
10356,1.65
16455,2.05
4388,1.23
9343,2.08
4346,1.1
12703,1.63
9095,1.66
12080,2.03
1879,1.04
3619,1.12
2799,1.26
13317,1.66
17534,1.79
7506,1.33
9204,1.98
9657,1.01
17599,1.36
2077,1.18
14453,1.31
17342,1.18
10998,1.67
16177,1.61
2797,1.18
6335,1.12
6284,1.88
5463,0.85
11472,2.07
14301,1.66
4330,1.48
8065,1.34
16981,2.38
1735,0.66
329,1.08
13905,2.93
1570,1.0
10164,1.65
10206,1.5
14300,1.54
6595,1.44
8233,1.31
13163,1.43
7576,1.15
17258,1.63
13942,1.93
12033,2.58
8548,0.8
1494,1.41
12618,2.3
7708,1.46
4656,0.85
16092,1.57
7166,1.74
10922,1.87
12840,1.34
12880,1.15
4134,0.98
13489,1.52
3899,0.8
13711,1.5
8130,1.4
15285,1.65
187,1.03
14031,1.45
10501,1.94
4563,1.15
14842,1.91
6236,1.48
863,1.21
8747,1.06
6423,1.5
12738,1.54
8828,1.16
1669,1.23
8421,1.51
12551,1.9
17814,1.26
7976,1.33
6248,0.65
8507,1.05
15289,1.58
17568,1.52
6805,1.48
10220,1.43
17180,2.16
6446,1.76
6738,1.14
3993,1.07
2440,1.15
17231,1.8
7129,1.62
14022,1.58
1094,0.95
8269,0.93
13347,1.9
2002,1.0
7610,1.15
9604,1.45
1091,0.97
5778,1.28
5270,1.03
2617,1.2
14632,1.47
12992,1.42
15572,1.68
2602,0.96
3596,1.59
3919,1.03
13709,1.39
15123,2.11
3459,1.0
5584,1.43
5677,1.42
11169,1.95
4337,1.49
16203,1.88
5619,1.41
5953,2.0
5174,1.09
9603,1.43
4617,0.91
6784,1.17
14942,1.85
7355,1.34
9001,1.82
12023,1.44
10640,2.06
13618,1.03
8589,1.0
7298,0.73
2915,1.01
2227,0.95
12169,1.5
11849,1.52
7513,1.41
10076,1.51
12249,1.32
7769,1.78
11337,1.37
6107,1.29
15013,2.03
10427,2.01
17529,1.62
1814,1.38
15716,1.0
3388,1.13
13827,2.01
17770,1.65
15586,1.95
2764,1.46
17730,1.02
5738,1.62
8074,1.71
242,1.17
11833,2.05
16745,2.58
16831,1.97
11126,1.49
16764,2.89
5632,1.59
7109,1.01
17324,1.83
15814,1.88
13580,1.33
8220,1.18
12388,1.46
4003,0.88
4433,1.54
12225,1.01
2327,1.11
14865,2.09
13739,1.45
3523,0.99
1792,1.48
6577,1.42
16516,1.68
5473,1.07
10031,1.82
8645,1.04
5271,0.91
10815,1.81
169,0.99
15905,1.49
13814,2.15
70,1.12
14787,1.82
5548,1.34
17542,1.4
834,1.14
4467,1.04
14153,1.69
14604,2.15
16551,2.19
8313,0.8
4495,0.92
917,1.25
6029,1.16
12109,1.79
17664,1.37
17012,1.54
9046,1.79
10234,1.75
5296,1.0
4951,1.82
11631,1.86
15569,1.58
3442,1.26
4091,1.04
3154,1.04
15736,1.31
5740,1.63
14607,2.11
9518,1.65
5564,1.47
1775,0.93
614,0.75
14264,1.86
17174,1.36
14536,2.54
13884,1.4
17203,1.52
14298,1.46
16325,1.67
5034,0.88
7711,1.23
16112,1.79
15960,2.05
6089,0.69
15434,1.84
9346,2.16
6795,1.79
1443,0.97
1453,1.03
14922,1.94
2942,0.63
10059,2.21
9484,1.4
6700,1.39
3536,1.11
16022,1.92
5777,1.27
2391,0.77
9884,2.17
15368,1.93
15943,1.33
1332,1.18
13292,1.28
8085,1.32
17353,1.85
3689,1.18
8975,1.87
17245,1.78
526,0.99
10711,1.5
9975,1.56
541,1.05
12850,1.41
864,1.19
10214,1.5
16970,2.55
6639,1.61
10853,1.82
11243,1.46
6919,1.13
3812,0.94
12416,1.25
15803,1.8
7252,1.49
2421,0.99
9333,2.06
1875,0.73
10016,1.69
8743,1.15
11944,1.59
10265,1.61
7580,1.09
12892,1.01
5691,1.51
8788,1.03
1743,0.54
8251,0.96
4938,0.81
3971,1.25
11494,1.81
13586,1.45
12907,1.15
2385,0.8
1667,1.18
181,1.15
9189,2.19
11031,1.44
1189,0.83
50,1.24
9643,1.65
9725,2.01
17117,1.7
9682,1.9
3258,0.94
1233,0.97
57,1.0
3520,0.89
13009,1.49
5499,0.71
4320,1.41
15083,1.46
8385,1.23
4389,1.24
6133,0.9
7286,0.75
3183,1.82
6351,1.08
9650,1.32
8744,1.15
20,1.12
1442,0.99
17193,2.1
1597,1.16
12706,1.71
4890,0.81
2761,1.56
2184,1.05
11542,1.71
6759,1.06
6942,0.73
17892,1.64
3245,1.07
2141,1.08
16341,2.01
12610,2.36
8554,0.91
7937,0.93
509,0.94
10438,2.24
6082,1.26
5641,1.48
14490,1.67
4554,1.4
11663,1.8
5265,1.06
7214,1.34
7364,1.08
3050,1.11
13420,1.79
13293,1.1
1615,1.2
15038,0.72
4006,1.39
5466,0.96
15725,1.91
6321,1.83
8137,1.54
12143,2.07
5845,1.72
16665,2.3
15625,1.09
2270,1.02
457,1.09
5214,1.05
304,1.41
2648,1.21
5518,1.65
2932,0.76
10222,1.47
823,1.02
16748,1.75
16948,1.41
11732,1.67
15735,1.45
634,0.87
1630,1.21
7511,1.45
733,1.11
265,1.4
9028,1.83
8268,0.89
491,1.06
1363,0.96
4627,0.94
13439,2.4
7577,1.18
13122,1.51
9020,1.75
133,1.26
1429,1.01
5441,0.75
3350,0.94
12755,1.35
2690,0.95
5006,1.03
16100,1.87
3884,0.81
3784,1.12
12616,2.36
4194,0.58
9519,1.84
16199,1.93
12330,1.27
7056,1.35
6721,0.99
2064,1.08
608,0.8
5136,0.77
6752,1.3
6529,1.67
13270,1.52
7768,1.83
613,0.72
5856,1.28
9610,1.44
10807,1.93
153,1.23
5465,0.99
5333,1.31
16043,2.12
10124,1.56
8716,1.56
13622,1.3
7523,1.27
10156,1.19
1357,0.96
16026,1.74
366,0.95
15636,1.7
9480,1.52
7868,1.28
4542,1.42
7046,1.38
14488,1.9
17163,1.81
1256,0.98
15250,2.05
1567,0.96
11522,1.68
5168,1.18
8308,0.84
245,1.26
9406,1.47
14071,0.98
1309,1.13
8168,1.21
14693,1.61
15887,0.92
7975,1.32
3598,1.49
2288,0.98
8763,1.06
6023,0.6
5048,1.33
7781,1.59
17741,1.33
13154,1.31
1789,1.43
4878,1.13
3538,1.03
2560,1.34
10964,1.02
11830,2.06
15189,1.5
9470,1.22
16823,1.81
17003,1.64
6427,1.59
9349,2.06
17620,1.91
9619,1.42
